K,fidelity,infidelity,dE_mt,pct_corr,max_abs_theta,n_singles,n_doubles,n_higher
1,0.683602439288336,0.316397560711664,3662.0964865606297,-0.3721764267347786,0.0066998860436769765,0,1,0
2,0.740335402680187,0.25966459731981295,3479.123777922203,4.64281131597816,0.34100140280214136,0,2,0
3,0.7487664640318663,0.2512335359681337,3373.596759084391,7.53513722586265,0.34100140280214136,0,3,0
4,0.7678569832381358,0.23214301676186422,3111.754561174819,14.711810855569981,0.34100140280214136,0,4,0
6,0.7396983657693322,0.26030163423066777,3358.6416022763315,7.945034027636381,0.4237173170391681,0,6,0
8,0.4499835388416648,0.5500164611583351,7151.014843945078,-95.99781878515269,1.059111019503691,0,8,0
12,0.43613287856900546,0.5638671214309945,7026.904971476849,-92.59616673655249,1.059111019503691,0,12,0
16,0.49111998852003136,0.5088800114799686,6728.7716428841195,-84.42481156717967,1.059111019503691,0,16,0
24,0.4692754120794992,0.5307245879205008,6384.270256921859,-74.98258250031694,1.059111019503691,0,24,0
32,0.895350580103017,0.10464941989698295,1312.8618438019387,64.01656780655256,1.059111019503691,0,32,0
48,0.9255346502209972,0.07446534977900277,1087.4078514853177,70.19589922940337,1.5493845415662455,0,48,0
64,0.9870019673066279,0.012998032693372075,272.5974591006799,92.52854195438468,1.5493845415662455,0,64,0
76,1.0,0.0,-1.3322676295501878e-12,100.00000000000003,1.5493845415662455,0,76,0
