sub,rank,n_letters,anchored,t_exact,t_bare,t_pred,t_pred_all,relerr_pred,relerr_all,relerr_bare
"(2,3)->(6,7)",2,1,True,0.9999999999999997,1.0036492120996747,1.2836009359817313,1.2836009359817313,0.28360093598173175,0.28360093598173175,0.00364921209967517
"(0,1)->(4,5)",2,2,True,0.3994099935127672,0.19602799714948965,0.24825532768896164,0.25094128164002893,0.3784448768905775,0.3717200728178386,0.5092060781317842
"(0,3)->(5,6)",2,1,True,-0.4202358285410658,-0.23245768981015272,-0.28207113821605984,-0.40648308523774274,0.3287789401600354,0.032726251236284365,0.44683990744630964
"(1,2)->(4,7)",2,1,True,-0.4202358285410659,-0.23245769756147347,-0.2820711476217451,-0.4064830987919546,0.3287789177781141,0.032726218982462085,0.446839889001141
"(0,2)->(4,6)",2,1,True,-0.21011791427053245,-0.2626943051383212,-0.2981839855141473,-0.45292242651385456,0.41912690571555666,1.155563118386492,0.25022326654211513
"(1,3)->(5,7)",2,1,True,-0.21011791427053242,-0.26269430513832126,-0.2981839855141474,-0.4529224265138546,0.4191269057155571,1.155563118386493,0.2502232665421156
"(0,3)->(4,7)",2,1,True,0.21011791427053317,0.3091303441851029,0.32028640519376894,0.5200667537711382,0.5243174591072255,1.4751185808057117,0.47122317132411773
"(1,2)->(5,6)",2,1,True,0.21011791427053317,0.3091303441851029,0.32028640519376894,0.5200667537711382,0.5243174591072255,1.4751185808057117,0.47122317132411773
"(3,4)->(1,6)",2,2,False,0.0,-0.2672688754764323,-0.2684568280566604,-0.47970222607329943,,,
"(2,5)->(0,7)",2,2,False,0.0,-0.2672688829101192,-0.26845683559799505,-0.47970223964959147,,,
