step,factor,rank_gen,theta,tan_theta,mu,rank_mu,nu,rank_nu,abs_c_mu,abs_c_nu,fid_after,flag
31,"(0d,1u)->(3u,4d)",2,0.7756781631668583,0.9807465368557102,|0u 1d 2u 2d 3u 4d>,4,|0u 0d 1u 1d 2u 2d>,2,0.07425365469432582,0.2880426167672651,0.6556822857737037,
32,"(0d,5u)->(2d,3u)",2,-0.884326989688174,-1.2203788900132295,|0u 2d 3u 4u 4d 5d>,4,|0u 0d 4u 4d 5u 5d>,2,0.07425365469432606,0.2880426167672649,0.895350580103017,warn_gt_pi4
33,"(0u,5d)->(2d,3u)",2,-0.227751911300607,-0.23177326999345985,|0d 2d 3u 4u 4d 5u>,4,|0u 0d 4u 4d 5u 5d>,2,0.05178249569212338,0.2880426167672649,0.9110422981183552,
34,"(0u,2d)->(4u,4d)",2,-0.346649035410085,-0.3612356534738496,|0d 1u 1d 2u 4u 4d>,3,|0u 0d 1u 1d 2u 2d>,2,0.028702872714774588,0.2880426167672651,0.9016566797865049,
35,"(1u,1d)->(3d,5u)",2,-1.5493845415662455,-46.69611445922116,|0u 0d 2u 2d 3d 5u>,3,|0u 0d 1u 1d 2u 2d>,2,0.028702872714774567,0.2880426167672651,0.7723801974580433,warn_gt_pi4
36,"(0d,2u)->(4u,4d)",2,0.5756401870601752,0.6489549139265788,|0u 1u 1d 2d 4u 4d>,3,|0u 0d 1u 1d 2u 2d>,2,0.028702872714774567,0.2880426167672651,0.7617874448742016,
37,"(1u,1d)->(3u,5d)",2,0.3191162026545949,0.3304088371275762,|0u 0d 2u 2d 3u 5d>,3,|0u 0d 1u 1d 2u 2d>,2,0.028702872714774577,0.2880426167672651,0.7540487965283411,
38,"(0u,2d)->(4u,4d)",2,0.612052157828125,0.7019778655061151,|1u 1d 3u 4u 4d 5d>,3,|0u 1u 1d 2d 3u 5d>,2,0.025096776568509276,0.14731444637066413,0.805565920715654,
39,"(1u,5u)->(2u,4u)",2,0.054213862770746885,0.05426703938600418,|1d 2u 3u 3d 4u 5d>,4,|1u 1d 3u 3d 5u 5d>,2,0.032487070226152624,0.11538477902639763,0.8062022713859154,
40,"(1d,5u)->(2u,4d)",2,-0.11157017406425125,-0.11203542904368645,|1u 2u 3u 3d 4d 5d>,4,|1u 1d 3u 3d 5u 5d>,2,0.027209030259871727,0.11538477902639763,0.8067325269532555,
41,"(0d,4u)->(2u,2d)",2,-0.028689103573694107,-0.028696977161689553,|0u 2u 2d 4d 5u 5d>,3,|0u 0d 4u 4d 5u 5d>,2,0.028702872714774563,0.2880426167672649,0.8070622428903598,
42,"(5u,5d)->(1d,3u)",2,-0.1904415795948188,-0.19277778874041082,|0u 0d 1d 3u 4u 4d>,3,|0u 0d 4u 4d 5u 5d>,2,0.02870287271477457,0.2880426167672649,0.8072617435950029,
43,"(0u,4d)->(2u,2d)",2,0.20123924551003916,0.20400052814227504,|0d 2u 2d 4u 5u 5d>,3,|0u 0d 4u 4d 5u 5d>,2,0.028702872714774584,0.2880426167672649,0.8063457679350965,
