step,factor,rank_gen,theta,tan_theta,mu,rank_mu,nu,rank_nu,abs_c_mu,abs_c_nu,fid_after,flag
1,"(1u,1d)->(4u,4d)",2,0.3505728396683089,0.3656777988220825,|0u 0d 4u 4d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.10501267956966748,0.9577115065645702,0.9355249095565589,
2,"(5u,5d)->(2u,2d)",2,0.10329632130314054,0.10366529122476632,|0u 0d 1u 1d 2u 2d>,2,|0u 0d 1u 1d 5u 5d>,0,0.10501267956966748,0.9577115065645702,0.941413905283716,
3,"(1u,5d)->(2u,4d)",2,0.08082582950574614,0.0810022973756447,|0u 0d 1d 2u 4d 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.0831285999289663,0.9577115065645702,0.9445229716840562,
4,"(1d,5u)->(2d,4u)",2,0.09529236260410585,0.09558185251812604,|0u 0d 1u 2d 4u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.0831285999289663,0.9577115065645702,0.9479358498461631,
5,"(0d,1u)->(3u,4d)",2,-0.13495339059156908,-0.13577867915013922,|0u 1d 3u 4d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.06106673631552507,0.9577115065645702,0.9475910566130556,
6,"(0u,1d)->(3d,4u)",2,-0.2605971426679118,-0.2666610443272368,|0d 1u 3d 4u 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.06106673631552507,0.9577115065645702,0.9324055463238963,
7,"(0u,5d)->(2u,3d)",2,0.10120074192928932,0.10154764865705579,|0d 1u 1d 2u 3d 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.06106673631552519,0.9577115065645702,0.9334554901178391,
8,"(0d,5u)->(2d,3u)",2,0.00834064750337255,0.008340840918363608,|0u 1u 1d 2d 3u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.06106673631552519,0.9577115065645702,0.9339213637473869,
9,"(1u,5d)->(2d,4u)",2,-0.06862253851238079,-0.06873045751430694,|0u 0d 1d 2d 4u 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.06124452028826542,0.9577115065645702,0.9354573235756916,
10,"(1d,5u)->(2u,4d)",2,-0.13185365061677157,-0.132623110839544,|0u 0d 1u 2u 4d 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.06124452028826542,0.9577115065645702,0.9353707016572519,
