K,fidelity,infidelity,dE_mt,pct_corr,max_abs_theta,n_singles,n_doubles,n_higher
1,0.9355249095565589,0.06447509044344113,666.2184318638538,-62.707850616144945,0.3505728396683089,0,1,0
2,0.941413905283716,0.058586094716283954,640.3719669766401,-56.39547235296955,0.3505728396683089,0,2,0
3,0.9445229716840562,0.05547702831594381,596.0574905872988,-45.572725848767305,0.3505728396683089,0,3,0
4,0.9479358498461631,0.05206415015383692,546.8751438676022,-33.56111893385209,0.3505728396683089,0,4,0
6,0.9324055463238963,0.06759445367610373,660.443452283209,-61.29745055817889,0.3505728396683089,0,6,0
8,0.9339213637473869,0.06607863625261312,625.8804188333827,-52.856259779860096,0.3505728396683089,0,8,0
12,0.9025598493874987,0.09744015061250133,953.2505517062049,-132.8085518931829,0.3505728396683089,0,12,0
16,0.8972324733769832,0.1027675266230168,1028.0430910179605,-151.07483323801694,0.3505728396683089,0,16,0
24,0.8126551388382433,0.18734486116175675,2102.4458315308993,-413.4718973899141,0.4596927279579145,0,24,0
32,0.8111112601572518,0.18888873984274823,2108.56480424436,-414.96630950847504,0.4596927279579145,0,32,0
48,0.9735228245601769,0.026477175439823086,372.79676080215296,8.953345080709079,0.4596927279579145,0,48,0
64,0.9107154726592105,0.08928452734078951,1084.8292461016413,-164.94348771605596,0.6106785394967108,0,64,0
84,0.9999999999999998,2.220446049250313e-16,-8.881784197001252e-13,100.00000000000021,0.6106785394967108,0,84,0
