sub,rank,n_letters,anchored,t_exact,t_bare,t_pred,t_pred_all,relerr_pred,relerr_all,relerr_bare
"(2,3)->(8,9)",2,2,True,0.10964959578105203,0.08747638741286934,0.6234466564617919,0.22646825189251396,4.685808981062622,1.0653815481885136,0.20221878804239357
"(10,11)->(4,5)",2,1,True,0.10964959578105203,0.10366529122476632,0.18836094972660372,0.18836094972660372,0.7178444515447395,0.7178444515447395,0.05457662213580017
"(2,11)->(4,9)",2,1,True,0.08679920765195658,0.0810022973756447,0.1835863728184092,0.1965235113976948,1.1150696853656235,1.2641164212662592,0.06678529024776425
"(3,10)->(5,8)",2,1,True,0.08679920765195658,0.09558185251812604,0.2695048307145258,0.28849655264472285,2.1049227061515783,2.323723343207497,0.10118346818770174
"(1,2)->(6,9)",2,2,True,-0.0637631853610896,-0.0625555209143184,-0.3022489611844577,-0.22657478679821147,3.740179767883742,2.553379360129566,0.01893983871621563
"(0,3)->(7,8)",2,2,True,-0.0637631853610896,-0.03296259421608835,-0.4227291751907907,-0.1173621112287414,5.629674675079109,0.84059360529312,0.48304661962193607
"(0,11)->(4,7)",2,2,True,0.06376318536108973,0.053905978314267675,0.25259118168393757,0.1893606101372231,2.9613952824583407,1.9697482813143274,0.1545908817290239
"(1,10)->(5,6)",2,2,True,0.06376318536108973,0.07265701291878161,0.1639731954962362,0.24332898633002903,1.5715966755371311,2.816135987436348,0.1394821715277601
"(2,11)->(5,8)",2,1,True,-0.06394881952286144,-0.06873045751430694,-0.14288984258434215,-0.16184404609752662,1.2344406613050865,1.5308371179497384,0.07477288911855662
"(3,10)->(4,9)",2,1,True,-0.06394881952286144,-0.132623110839544,-0.2683860675260308,-0.3039872274964394,3.196888535684132,3.7536018610596127,1.0738945899092287
"(1,2)->(7,8)",2,2,True,0.055250731504812606,0.04821611411033957,0.17410104432485535,0.1714503729764184,2.1511084031473917,2.1031330863281736,0.12732170602773452
"(0,3)->(6,9)",2,2,True,0.05525073150481259,0.09588437069843023,-0.09778680950519991,0.3344449633062534,2.769873571659087,5.053222359184904,0.7354407459759742
"(0,11)->(5,6)",2,2,True,-0.05525073150481261,-0.06347573080982988,-0.0034007582056664043,-0.17293877893316492,0.938448630216413,2.1300722039870386,0.148866794719285
"(1,10)->(4,7)",2,2,True,-0.05525073150481262,-0.055069440674932024,-0.14493684780555893,-0.1256982505256855,1.6232566313250385,1.2750513360123845,0.003281238545498777
"(2,11)->(6,7)",2,2,True,0.04673827764853564,0.04908336149867754,0.16131391546366514,0.1517816646549714,2.4514304672653955,2.2474809148155868,0.05017480249864059
"(0,1)->(4,9)",2,2,True,0.04673827764853564,0.0450108401783368,0.10960920911117011,0.13678703756382773,1.3451700538777618,1.9266597839236685,0.036959801625316424
"(0,1)->(5,8)",2,2,True,-0.046738277648535644,-0.056134936767419354,-0.09544880376189793,-0.16964260876407566,1.0421977138237235,2.629629017135824,0.20104846801469844
"(3,10)->(6,7)",2,2,True,-0.04673827764853564,-0.11904050517025483,-0.5077303814496744,-0.28689629780746073,9.863266833829984,5.138358370089607,1.5469596048322614
"(0,1)->(6,7)",2,8,True,0.04456651133229896,-0.05094624789081609,-0.24747512257401733,0.24750890343058574,6.552939083088228,4.553697070544696,2.1431509078857043
"(2,10)->(4,8)",2,1,True,0.02285038812909519,0.02995581418574914,0.06498338732545705,0.08387484297198992,1.843863612220849,2.6706091160522942,0.3109542829868468
"(3,11)->(5,9)",2,1,True,0.02285038812909517,0.03044567491076509,0.05196532080528511,0.0687079728874118,1.2741548419966744,2.0068623998524835,0.33239202497391784
"(0,2)->(6,8)",2,3,True,-0.008512453856277007,-0.005741518014696245,-0.030033201962905987,-0.20807809056538118,2.528148577364654,23.443961057356717,0.32551551977430093
"(1,3)->(7,9)",2,3,True,-0.008512453856277,-0.027569499469464485,-0.12475289329318823,-0.07793810803715864,13.655338566234537,8.155774510270954,2.238725276511779
"(0,10)->(4,6)",2,2,True,0.008512453856277089,0.019446791671347226,0.06049039755626615,0.0691383441066983,6.106105780727433,7.122022776747933,1.284510671033729
"(1,11)->(5,7)",2,2,True,0.008512453856277089,0.007497457548800213,-0.005924709816612889,0.018109114521062702,1.6960049260348122,1.1273671290105178,0.11923662960339187
"(10,11)->(3,6)",2,1,False,0.0,-0.07526298696258642,-0.17353051746521186,-0.23557215501588377,,,
"(1,8)->(4,5)",2,1,False,0.0,-0.013073433063649364,-0.031208538792290665,-0.03696252770068765,,,
"(0,5)->(8,9)",2,2,False,0.0,0.3296738809417062,0.8106022272184326,0.9157609120248129,,,
"(2,3)->(7,10)",2,2,False,0.0,-0.2870444339780907,-0.7087937873625695,-0.8057008951302552,,,
"(10,11)->(2,7)",2,1,False,0.0,0.0251294939961722,0.05110559006311821,0.07298564020089532,,,
