sub,rank,n_letters,anchored,t_exact,t_bare,t_pred,t_pred_all,relerr_pred,relerr_all,relerr_bare
"(0,9)->(4,5)",2,1,False,0.0,0.010879086949496667,0.02537964805111984,0.033231824200817967,,,
"(1,4)->(8,9)",2,2,False,0.0,-0.09015589662258983,-0.2942145328547052,-0.2151286812061448,,,
"(2,3)->(6,11)",2,2,False,0.0,0.08030385468613044,0.17706857114778538,0.25018229381689794,,,
"(1,3)->(5,11)",2,1,False,0.0,0.05391643803845122,0.07555804584539644,0.1571925594799642,,,
"(0,2)->(4,10)",2,1,False,0.0,-0.00841617850141939,-0.01581220147598639,-0.03323547896434227,,,
"(5,11)->(7,9)",2,1,False,0.0,-0.058729494566505724,-0.07674975597497388,-0.17117868965312913,,,
"(4,10)->(6,8)",2,1,False,0.0,-0.2840558353943753,-0.2849417957727573,-1.0790858358379776,,,
"(4,6)->(0,10)",2,2,False,0.0,0.011442685451704241,0.011478093004630494,0.04069735692928349,,,
"(4,9)->(3,10)",2,5,False,0.0,-0.05033355348997248,-0.050540621397517665,-0.11637451711676612,,,
"(4,8)->(2,10)",2,1,False,0.0,-0.0019396838353823614,-0.0019451734526243106,-0.005433447705592124,,,
"(4,7)->(3,8)",2,2,False,0.0,0.10175602852070145,0.10196536396468658,0.3940903259956119,,,
"(5,7)->(3,9)",2,3,False,0.0,-0.08401983206319011,-0.08406435784939477,-0.24521818400141318,,,
"(0,3)->(5,10)",2,1,False,0.0,0.016081511601598684,0.01608164716904233,0.05369106492775797,,,
"(1,2)->(5,10)",2,2,False,0.0,-0.005806898899585247,-0.005807510528625888,-0.01995001842241765,,,
"(4,6)->(2,8)",2,1,False,0.0,0.01436841037102986,0.01436841037102986,0.05672965358482339,,,
