sub,rank,n_letters,anchored,t_exact,t_bare,t_pred,t_pred_all,relerr_pred,relerr_all,relerr_bare
"(2,3)->(8,9)",2,2,True,0.42016424510411854,0.6628557071968368,920.7473058671333,1909.1158115678456,2190.398522353962,4542.7369643263155,0.5776109341064428
"(10,11)->(4,5)",2,1,True,0.42016424510411887,0.3548639857881009,2502.836473404746,2502.836473404746,5955.804993686529,5955.804993686529,0.15541603093770207
"(0,1)->(6,7)",2,6,True,0.1683103671263465,0.2830789607629831,1578.0148821459793,5209.370724184515,9374.624978355623,30949.979509622048,0.6818866573470344
"(2,11)->(4,9)",2,1,True,0.27209052154089935,0.14514830538979703,909.8289484771386,965.4391243022206,3342.8465379999557,3547.227695822548,0.4665440583236964
"(3,10)->(5,8)",2,1,True,0.27209052154089935,-0.10705049338810108,-857.165814851603,-909.5571371489784,3151.2964895554364,3343.8475641047207,1.3934370546311359
"(0,11)->(4,7)",2,2,True,0.21488578269052702,0.2671025405115569,1384.01515389272,833.5998254480987,6439.701364994179,3878.269326294275,0.2429977319450265
"(1,10)->(5,6)",2,2,True,0.21488578269052705,0.5603321845223068,16812.87964276939,2189.0990148721576,78240.00520871994,10186.26780088956,1.6075814672638566
"(1,2)->(6,9)",2,2,True,-0.21488578269052697,-0.27625639639863264,-7907.453959620092,-2082.209491437945,36797.404531993656,9688.84297317003,0.28559643611457575
"(0,3)->(7,8)",2,2,True,-0.21488578269052697,-0.16941494953317748,-1142.2992577044643,-634.6046548534032,5314.843809683652,2952.2184349643303,0.2116046608017591
"(0,3)->(6,9)",2,2,True,0.15397200565745253,0.44079705644590284,1272.218331204509,7372.572048405933,8261.659993108502,47881.5486290539,1.8628389593531764
"(1,2)->(7,8)",2,2,True,0.1539720056574526,0.2743498112580179,99.38285614491207,5262.254390246343,644.4605544725638,34175.69574268898,0.7818161820167129
"(0,11)->(5,6)",2,2,True,-0.15397200565745262,-0.8848760811037648,-5.124054174868188,-26.929145341854806,32.279128585672034,173.89637305735368,4.746993275338521
"(1,10)->(4,7)",2,2,True,-0.15397200565745262,-1.1570669256615025,-2221.4735719408177,-11031.92579291286,14426.775766479359,71647.90621387375,6.514787644162234
"(3,11)->(5,9)",2,2,True,0.1480737235632186,0.4012507302463962,1119.2175442318967,5706.328337737794,7557.515564404362,38536.07599445579,1.7098037422898074
"(2,10)->(4,8)",2,2,True,0.1480737235632186,0.3488451104722874,806.0245592714697,5552.689082527424,5442.4003540631265,37498.48977380014,1.3558880136039222
"(2,11)->(5,8)",2,2,True,-0.12401679797768082,-0.5120349094214924,-1099.6754057953324,-6936.842098334475,8866.1488357024,55933.69764944981,3.1287544733548343
