K,fidelity,infidelity,dE_mt,pct_corr,max_abs_theta,n_singles,n_doubles,n_higher
1,0.9577189060527088,0.04228109394729118,409.70408121990243,-0.0603814839749816,0.003930946075466402,0,0,1
2,0.9579264528960354,0.042073547103964604,413.1156629271029,-0.8935783759117422,0.020816840874293883,0,0,2
3,0.9579268648904652,0.04207313510953481,413.01280595588173,-0.8684580311301391,0.020816840874293883,0,0,3
4,0.9580020974301603,0.04199790256983971,414.87166207480277,-1.3224389918011785,0.020816840874293883,0,0,4
6,0.9580782279300779,0.04192177206992209,416.63877941134064,-1.7540149582754367,0.020816840874293883,0,0,6
8,0.9581414215295752,0.041858578470424845,417.6398381647841,-1.9984995151760638,0.020816840874293883,0,0,8
12,0.9582664950744184,0.04173350492558159,419.67589617691914,-2.4957577821943655,0.020816840874293883,0,0,12
16,0.9583764030890722,0.04162359691092776,421.6133251374199,-2.9689282722431454,0.020816840874293883,0,0,16
24,0.9585521227922813,0.0414478772077187,426.02214401414517,-4.045676390995965,0.020816840874293883,0,0,24
32,0.9586747213142482,0.041325278685751754,429.40103160229273,-4.87088852960789,0.020816840874293883,0,0,32
48,0.9587648915422853,0.04123510845771472,432.2463839681987,-5.565797504742244,0.020816840874293883,0,0,48
64,0.9588397458876579,0.04116025411234214,433.5589586708544,-5.886362350186017,0.020816840874293883,0,0,64
96,0.9704495817813613,0.029550418218638685,364.38362934249557,11.008050371468228,0.10907249964519616,0,2,94
128,0.9776795642740588,0.022320435725941223,274.8411146159855,32.8766589435173,0.10907249964519616,0,4,124
192,0.9945464597259235,0.005453540274076518,78.68562485384788,80.78292601641164,0.10907249964519616,0,14,178
220,1.0000000000000002,-2.220446049250313e-16,-5.329070518200751e-12,100.00000000000131,0.10907249964519616,0,25,195
